"Quantity","LCSC Part Number","Value","Footprint"
"108","C1710","10n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"5","C161260","100n","C_0805_2012Metric"
"3","C312983","100u/10v","C_1206_3216Metric"
"3","C92797","10u/35v","C_1206_3216Metric"
"3","C249503","220u/35v","CP_Elec_10x10"
"1","C118715","10V","D_SOD-123"
"36","C169530","B5819WS","D_SOD-323"
"2","C2297","LED-G","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
"1","C84256","LED-R","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
"2","C2886580","SS34A","D_SMA"
"1","C2897464","350mA","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder"
"2","C3406","IN","IDC-Header_2x08_P2.54mm_Vertical"
"3","C86581","RJ45_LED_Shielded_x2","RJ45_CONNFLY-Elec_DS1129-04-S8B0P-X"
"1","C431092","XT-IN","AMASS_XT30PW-M_1x02_P2.50mm_Horizontal"
"1","C2929503","47u/2.5A","L_12x12mm_H8mm__D11.0_P5.0_universal"
"36","C20917","AO3400A","SOT-23"
"1","C2834760","HYG210P06LQ1D","TO-252-2"
"36","C17513","1K","R_0805_2012Metric"
"1","C4310","1k5","R_0805_2012Metric"
"13","C17673","4k7","R_0805_2012Metric"
"8","C17414","10k","R_0805_2012Metric"
"36","C149504","100K","R_0805_2012Metric"
"1","C118954","5k","Potentiometer_Bourns_3296W_Vertical"
"3","C2678753","PCA9685PW","TSSOP-28_4.4x9.7mm_P0.65mm"
"1","C2988027","XL4001","Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias"
