Designator,Mid X,Mid Y,Layer,Rotation
"C1",12.000,90.000,top,90.000
"C2",48.000,78.500,top,270.000
"C3",6.000,78.500,top,270.000
"C4",94.000,78.500,top,270.000
"C5",37.000,82.000,top,0.000
"C6",57.640,85.330,top,0.000
"C7",57.640,87.730,top,0.000
"C8",75.440,96.930,top,90.000
"C9",73.040,96.930,top,90.000
"C10",70.640,96.930,top,90.000
"C11",23.247,53.938,top,0.000
"C12",30.872,63.075,top,90.000
"C13",31.110,49.675,top,90.000
"C14",31.110,53.450,top,90.000
"C15",27.372,63.075,top,90.000
"C16",27.610,49.675,top,90.000
"C17",27.610,53.450,top,90.000
"C18",28.410,39.538,top,90.000
"C19",28.647,26.137,top,90.000
"C20",28.647,29.912,top,90.000
"C21",25.010,39.538,top,90.000
"C22",25.247,26.137,top,90.000
"C23",25.247,29.912,top,90.000
"C24",18.210,39.538,top,90.000
"C25",18.447,26.137,top,90.000
"C26",18.447,29.912,top,90.000
"C27",21.610,39.538,top,90.000
"C28",21.848,26.137,top,90.000
"C29",21.848,29.912,top,90.000
"C30",14.810,39.538,top,90.000
"C31",15.047,26.137,top,90.000
"C32",15.047,29.912,top,90.000
"C33",11.410,39.538,top,90.000
"C34",11.647,26.137,top,90.000
"C35",11.647,29.912,top,90.000
"C36",8.010,39.538,top,90.000
"C37",8.248,26.137,top,90.000
"C38",8.248,29.912,top,90.000
"C39",4.610,39.538,top,90.000
"C40",4.848,26.137,top,90.000
"C41",4.848,29.912,top,90.000
"C42",2.272,63.075,top,90.000
"C43",2.510,49.675,top,90.000
"C44",2.510,53.450,top,90.000
"C45",5.772,63.075,top,90.000
"C46",6.010,49.675,top,90.000
"C47",6.010,53.450,top,90.000
"C48",56.197,53.938,top,0.000
"C49",63.822,63.075,top,90.000
"C50",64.060,49.675,top,90.000
"C51",64.060,53.450,top,90.000
"C52",60.322,63.075,top,90.000
"C53",60.560,49.675,top,90.000
"C54",60.560,53.450,top,90.000
"C55",61.360,39.538,top,90.000
"C56",61.597,26.137,top,90.000
"C57",61.597,29.912,top,90.000
"C58",57.960,39.538,top,90.000
"C59",58.197,26.137,top,90.000
"C60",58.197,29.912,top,90.000
"C61",51.160,39.538,top,90.000
"C62",51.398,26.137,top,90.000
"C63",51.398,29.912,top,90.000
"C64",54.560,39.538,top,90.000
"C65",54.797,26.137,top,90.000
"C66",54.797,29.912,top,90.000
"C67",47.760,39.538,top,90.000
"C68",47.997,26.137,top,90.000
"C69",47.997,29.912,top,90.000
"C70",44.360,39.538,top,90.000
"C71",44.597,26.137,top,90.000
"C72",44.597,29.912,top,90.000
"C73",40.960,39.538,top,90.000
"C74",41.197,26.137,top,90.000
"C75",41.197,29.912,top,90.000
"C76",37.560,39.538,top,90.000
"C77",37.797,26.137,top,90.000
"C78",37.797,29.912,top,90.000
"C79",35.222,63.075,top,90.000
"C80",35.460,49.675,top,90.000
"C81",35.460,53.450,top,90.000
"C82",38.722,63.075,top,90.000
"C83",38.960,49.675,top,90.000
"C84",38.960,53.450,top,90.000
